,Job Title,Company Name,City,Region,Workplace Type,Work Type,Experience,Company Size,Industry,Job Description,Job Link,Industry_cleaned,Company_Size_cleaned,Job_Title_cleaned,Job_Title_cleaned2,Years_exp,liststring,Job_skills
43,Data Analyst,ROSEN,Oldenzaal, Overijssel,On-site,Full-time,Associate,"1,001-5,000 employees",Public Safety,"""description bij rosen zijn wij op zoek naar een data analist ter versterking van ons evaluatieteam in oldenzaal. we bieden een gedegen in-house training, zodat je de vaardigheden leert die nodig zijn voor de functie van technisch data analist binnen de rosen-groep. het team van data analisten stellen inspectierapporten op waarin de toestand van de pijpleiding in detail wordt beschreven. als lid van het evaluatieteam maak je deel uit van de ambitieuze en groeiende organisatie die state-of-the-art technologieă«n biedt aan klanten wereldwijd. ben je geăżnteresseerd? lees dan vooral verder! je verantwoordelijkheden: requirements het verstrekken van een verklaring omtrent het gedrag (vog) is een voorwaarde voor indiensttreding. rosen europe draagt de kosten verbonden aan de aanvraag van het certificaat our offer heb je interesse om te werken in een omgeving waar samenwerking wordt gewaardeerd en innovatie wordt erkend? solliciteer dan online of stuur snel je motivatie en cv naar recruitment-oldenzaal@rosen-group.com.""",/jobs/view/3438572465/?alternateChannel=search&refId=Ofmdv3Ug%2BNZUlqU0MxFjOw%3D%3D&trackingId=8vQvkMVcMdcUB7jRrGbT0Q%3D%3D&trk=d_flagship3_search_srp_jobs,Public Safety,"1,001-5,000 employees",Data Analyst,Data Analyst,[],,[]
44,Data Analyst,Mediahuis Nederland,Amsterdam, North Holland,On-site,Full-time,Entry level,"1,001-5,000 employees",Book and Periodical Publishing,"""product data analist . wat ga je doen als product data analist? de digitale evolutie van het medialandschap daagt ons uit. we geloven in de kracht van onafhankelijke journalistiek en zijn daarom met jou als onze data analist dagelijks bezig om onze journalistieke producten te verbeteren. daarbij destilleer jij waarde uit onze bergen van data. waarde die jij vernuftig weet om te zetten in waardevolle inzichten die het fundament zullen vormen onder onze beslissingen als het gaat om het bieden van een optimale klantervaring aan onze gebruikers. (door) ontwikkel je rapportages, dashboards & analyses waarmee er overzichtelijke en betrouwbare inzichten worden gegeven. genereer je inzichten uit interne en externe databronnen die betrekking hebben op het consument-en leesgedrag. op eigen initiatief of op verzoek van onze redacties of collegaâ€™s van de afdelingen b2b of b2c. analyseer je conversie optimalisaties in bijvoorbeeld de vorm van ab-testen of multivariate testen ontsluit, verrijk en modelleer je de data en visualiseer en presenteer je al jouw gekregen inzichten. wat wij in huis willen halen is iemand die dankzij minimaal 1 jaar relevante ervaring op het gebied van data-en webanalyse klaar is om richting onze data jungle te slingeren en als echte zelfstarter meer dan goed in staat is om eigen onderzoeksvragen en plan van aanpak te definiă«ren. je voelt je helemaal thuis in een wereld vol complexe analyses en modelleringen waarbij jij regelmatig net wel die ingang weet te vinden naar een mooie oplossing. van kritische vragen deins je niet terug. sterker nog, die prikkelen jouw nieuwsgierig en maken je een uitdagende gesprekspartners voor onze stakeholders. naast ervaring is ook kennis van google analytics, python, bigquery en diverse data visualisatie tools (powerbi, data studio) en tooling als sql wenselijk. affiniteit en ervaring met (nieuws-)media en digital marketing is een pre. je beheerst de nederlandse en engelse taal. dit hebben wij voor jou in huis als europese mediagroep bieden wij jou een inspirerende en internationale werkomgeving waar iedereen zich thuis voelt. we vormen de thuisbasis van een brede verzameling van autonome en cross mediale mediamerken. het is net die diversiteit die we hier omarmen en die de fundering vormt van ons huis. met innovatie in onze genen en een nieuwsgierige blik op de wereld werken we op een open en respectvolle manier voor elkaar samen. we zijn een plek met zuurstof voor nieuwe ideeă«n en ruimte om te bewegen. waar jij je talent kunt inzetten en wordt gezien. en waar je minstens zo veel energie krijgt als dat je geeft. kom binnen! klinkt deze vacature en ons huis als jouw plek om (verder) te groeien? open dan onze deuren met jouw sollicitatie en ontdek wie wij zijn. heb je vragen of behoefte aan meer informatie? neem dan contact op met roy spaan, hr expert mobiliteit via telefoonnummer +316 1245 9239. of stuur een mediahuis: ă©ă©n met de samenleving onze merken staan in het hart van de samenleving. een samenleving die zich net als onze autonome en cross mediale merken kenmerkt door een grote verscheidenheid. het is net dă­e diversiteit die we omarmen en die de fundering vormt van ons huis. ook als het gaat om onze collegaâ€™s. we willen dat iedereen hier zichzelf kan zijn en een mening kan vormen. we nodigen je uit om helemaal jezelf te zijn en geven je de mogelijkheid om te bewegen door de hele organisatie. ons huis moet als thuis voelen.""",/jobs/view/3324378964/?alternateChannel=search&refId=Ofmdv3Ug%2BNZUlqU0MxFjOw%3D%3D&trackingId=XKLZRb6izXLHYkvcGElfsA%3D%3D&trk=d_flagship3_search_srp_jobs,Book and Periodical Publishing,"1,001-5,000 employees",Data Analyst,Data Analyst,['1 jaar'],1 jaar,['sql']
45,Data Analyst   Chapter Data,Rabobank,Utrecht, Utrecht,Hybrid,Full-time,Full-time,"10,001+ employees",Banking,"""data analyst â€“ chapter data your data management skills have an impact on our 9.5 million customers. you and your job as a data analyst you act as the conduit between stakeholders within the finance, risk, it and business and support domains. you do also accept accountability for data definition and data management processes and interpret data quality levels for specific data subject areas. practical examples you will take responsibility for data elements for their end-to-end usage across the enterprise you do not involve just a single role but includes a network of people with accountabilities for ensuring that all aspects of an effective data environment are being accomplished you will tackle various data related issues and you will work on global and cross functional change projects to improve our processes and systems facts & figures 36 per week as standard (other options can be discussed) 43,822 rabobank colleagues around the world example responsibilities you will contribute to new initiatives and developments which require new data to be disclosed to the datawarehouse to fulfil reporting needs of its customers you will manage the enterpriseâ€™s data assets in order to improve their reusability, accessibility, and quality you will focus with your team on the following areas: issue management & monitoring, data quality, data requirements, systems & projects. you initiate improvements and contribute to their realization. (medior) you are a self-starter, take ownership and show ability to work autonomously. (senior) you will coach and supervise your less experienced data analyst colleagues. (senior) you can easily switch between details and a more holistic view on the whole data landscape and processes. (senior) together we achieve more than alone collaboration is at the heart of everything we do. our team brings talented people together from various nationalities and backgrounds. as our colleague you will tackle various data related issues and play a role in global and cross domain efforts to improve our processes and systems. joris, data analyst: â€śworking as a data analyst for our teams in on our new data warehousing means working with data in an international environment during a large strategic transition. this involves the implementation of regulatory requirements, adherence to compliance and data management standards. next to that accurately and timely processing of the data is key for meeting the reporting deadlines of our stakeholders.â€ť our chapter brings a diverse, talented group of people to manage and develop the financial data platform of rabobank. working together is the way we work; as 1 data-minded team at rabobank. you and your talent you have at least a bachelor degree in economics, finance, business administration or a related (quantitative) field you have relevant banking experience within the financial industries sector you have strong analytical and conceptual skills (databases, data warehouses and sql) you have knowledge of databases, data warehouses and sql you have knowledge of powerbi, python, knime or other tooling such as business objects (preferred) you have strong communication skills in english, both spoken and written this is what we offer you a gross salary in scale 8, scale 9 or scale 10 (â‚¬ 3.292,- to â‚¬ 6.481,-) thirteenth month's salary and 8% holiday allowance an extra budget of 10% or 11% of your gross salary to be used at your discretion. buy extra holiday hours, add more to your pension savings or ask for part of the extra budget to be paid out a pension scheme to which you contribute 3.5% this is a selection of the terms of employment for a data analyst based on a 36-hour working week. you can find all terms of employment on rabobank.jobs/en/conditions-of-employment. you and the job application process we look forward to your response to the vacancy of data analyst at rabobank. any questions about the job content? contact: ryan bartlett, chapter lead via ryan.bartlett@rabobank.com any questions about working at rabobank and the process? contact: maaike koster, sr. recruiter via maaike.koster@rabobank.nl you can find answers to the most frequently asked questions on rabobank.jobs/nl/veelgestelde-vragen. a security check is part of the process. we respecteren jouw privacy.""",/jobs/view/3430519921/?alternateChannel=search&refId=Ofmdv3Ug%2BNZUlqU0MxFjOw%3D%3D&trackingId=%2Fxcnu1AVfHTOorPnSoJ0KA%3D%3D&trk=d_flagship3_search_srp_jobs,Banking,"10,001+ employees",Data Analyst  Chapter Data,Data Analyst,[],,['sql']
46,Graduate Quant Analyst   Start September 2023,Mathrix Group,Amsterdam Area,Netherlands,Hybrid,Full-time,Entry level,11-50 employees,Financial Services,"""about mathrix mathrix is a leading algorithmic trading firm with fully automated operations, providing deep liquidity to the digital asset markets. mathrix is one of the dominant players in the space, ranking at the top of cex and expanding rapidly on dex. to keep our leading position in this fast-moving space we rely on our bright and creative minds. our flat organisation structure and cutting-edge technology enable us to execute new opportunities and ideas fast, while instant feedback from the markets allows us to constantly improve and push boundaries. initiative and creativity are highly valued, and our highest priority is to facilitate you to shape your own future, and with that the future of mathrix. as one of the early movers we are committed to crypto native culture and the vibrant energy from the space, where in addition to dedication and high quality work there is also room to enjoy. next to regular social activities outside of work, we have bars, game rooms, a massage therapist, gym/subscriptions and other awesome facilities to create a comfortable and fun working environment. our solid foundation enables us to transform to a full-service web 3.0 financial technology firm. offering a variety of services to support token projects, protocol research and overall community development for efficient crypto markets by leveraging our current unique position in the market as well as our almost 10 years of experience in digital asset markets. we are expanding and looking for exceptional talent to join our team in switzerland, the netherlands or singapore. your job as a graduate you will start immediately in the research and development team. this young and ambitious group will guide you on your first weeks and projects. as a quant analyst, you are developing predictive models and writing mathematical algorithms to further develop and improve the automated software. you spend a lot of time writing code and creating systems that can handle complex data and complex processes. the work entails a combination of technical and practical aspects to find the best solutions for our trading strategies. the traders are on top of whatâ€™s going on in the market and you support them on what can be improved. the types of projects you will be working on range from designing, testing and implementing new strategies, to tweaking existing strategies, performing data analysis to obtain a better understanding of the market and our own trading performance, or building various tools to streamline or automate certain processes. a project can take a day, a week or even a month, and sometimes we need more time to make sure we have the right result. how you approach a project is up to you, you have the freedom to create your own ideas and this is very much appreciated in our organization! who are you you have a masterâ€™s degree or phd in physics, mathematics, statistics quantitative finance, or equivalent graduated cum laude (8 or higher) for bachelor and master you can start in september 2023 you are graduated between january 2023 and august 2023 passionate and knowledgeable about mathematical modeling experience with programming (python or another language) interested in and curious about trading and digital assets you take ownership of your projects and can work independently pro-active, a self-starter, honest, flexible and stress resistant what we offer excellent remuneration (including discretionary bonus) fun and inspiring work environment experienced and knowledgeable colleagues 25 vacation days allowance for commuting expenses additional: going out for dinner regularly, friday afternoon drinks, yearly office trips, weekly massages, gym subscription, and an excellent free lunch.""",/jobs/view/3446952164/?alternateChannel=search&refId=muJi%2Bo4LZMobb0Q6E4PkFQ%3D%3D&trackingId=xVK2jOV%2BQeMuYqymSPWjmQ%3D%3D&trk=d_flagship3_search_srp_jobs,Financial Services,11-50 employees,Graduate Quant Analyst  Start September 2023,Graduate Quant Analyst  Start September 2023,['10 years'],10 years,[]
47,Data Analyst,TMC,Eindhoven, North Brabant,On-site,Contract,Entry level,"1,001-5,000 employees",Business Consulting and Services,"""| your challenges? the mission of the data analyst is to draw fact-based conclusions based on available data. you will create reports and small applications for this. as a data analyst you will also participate in improvement programs. as a data analyst you take responsibility to: create in-depth understanding of the business problems the stakeholders face; perform exploratory data analysis to identify trends and patterns to clarify and detail our understanding of the issues; find and combine (structured and unstructured) data; clean and prepare data for processing, statistical analysis and (predictive) modelling; transform data into information and insights; directly manage stakeholders of your analysis by involving them on developments in your work; take ownership over your teamâ€™s work to together create a successful end product; challenge business assumptions using fact-based analyses on business process data. | what do we expect from you? to succeed in this role, you should have the following skills and experience: excellent analytical skills including statistics on bsc. level; knowledge of data cleaning, modelling, and transformation.; good knowledge of data analytics methods and tools (like datamining, machine learning, predictive modelling, sql, r, phyton, matlab, tableau, etc.) and affinity with it systems/applications; experience with applications like spotfire, mendix, sap hana, excel, sql and python; good communications skills, verbally and in writing in english; pro- active, enthusiastic and critical towards representativeness and accuracy of results. | what does our business cell have to offer? tmc data science belongs to enthusiastic group of about 60 professionals in 7 different key competencies of data science. from data analysts to machine learning engineers, and from juniors to seniors. we share all our knowledge with each other. in the form of workshops, quick scans, pizza sessions, office days and q-meetings. we have a strong network, sky-high ambitions and together we'll take care of your career! we also have our own cell council that organizes many activities such as bbq's and game nights. | what can you expect from tmc? tmc is an international high-tech consultancy company that brings expertise to their clients in order to support them with the realization of their technological challenges. as such, tmc is operating as an expert center at the disposition of its clients and we help them to be more competitive in an ever more global and faster changing technological world. at tmc we believe that people are the driving force behind technological innovation. that is why we want to create the best possible conditions for tech talents to thrive in. we offer you a challenging and stimulating work environment in which you can be the director of your own career. as an employeneur you are part of our tmc family. next to our outstanding technical expertise, fun and engagement are meaningful parts of our culture. | why choose for employeneurship? we are truly unique thanks to our employeneurship model which is a true innovation for the high technology consulting business. it is the business relationship of the 21th century for high skilled technical professionals. it is built around 5 main pillars: you will have a permanent employment contract, offering you stability and security; you will get to know your market value and have a share in the profit your work generates thanks to the individual profit sharing; we will support you with a one-on-one coaching and trainings designed to help you develop your entrepreneurial skills; the competence cells structure, provides you with a strong meaningful and relevant network; the entrepreneurial lab: a playground for new ideas and a potential launching for start-ups. tmc is an equal opportunity employer and values diversity. we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.""",/jobs/view/3401586993/?alternateChannel=search&refId=Ofmdv3Ug%2BNZUlqU0MxFjOw%3D%3D&trackingId=pHFHI9VoqemFP0GhKWX4TQ%3D%3D&trk=d_flagship3_search_srp_jobs,Business Consulting and Services,"1,001-5,000 employees",Data Analyst,Data Analyst,[],,['sql']
48,Data Analyst (M/F/D),TUI,Enschede, Overijssel,Hybrid,Full-time,Associate,"10,001+ employees",Travel Arrangements,"""*the position is based in hanover / germany, but can also be managed remotely from another city in germany or from one of our eu / uk locations.* *feel free to apply in english or german.* as a data analyst, you are part of a cross-functional team that delivers all the data products for the hotel division from conception to operation. you will collaborate with data engineers, data analysts and most important your peers in the business domains to clearly define, document and communicate requirements that will enable implementation of new changes and enhancements to our data platforms in an agile manner. about the job youâ€™re responsible for evaluating solution options, consulting with stakeholders, providing data driven answers and collaborating with your team to implement productive data driven services and to shape the future of the hotel division of tui hotels & resorts. working with a varied set of technology and business stakeholders, you define and document new business, user, and system requirements, considering impacts to upstream/ downstream services. you support the requirement lifecycle from planning through to elicitation, testing, delivery, and business acceptance. as a data analyst you understand the data specific business needs and using your excellent collaboration skills you and your team deliver the best data driven solutions. you will use our self-service bi tools (tableau, matillion) to maintain and create new valueable analysis. you will prioritize your work and create a roadmap together with the business for delivery. you love to work in an international, multi-cultural team. you challenge constructively and have high expectations of yourself and others. you always drive for excellence, ownership and self-organisation at team and personal level. you love to learn and acquire new skills and keep up to date with latest developments in your focus areas. youâ€™re an active member in the analytics community. about you strong analytical skills to break down complex problems, identify relevant data sources and split tasks into manageable steps in order to enhance or create data products good communication skills in order to discuss with technical and non-technical stakeholders good knowledge of cloud databases, enterprise data warehouse structures, data pipelines and strong sql skills good knowledge of tableau experience in creating data driven dashboards to answer questions raised by the business customer centric, passionate about delivering great data products and services passionate about continuous improvement open minded, inquisitive, life-long learner comfortable with ambiguity, highly autonomous about our offer working inâ€żtheâ€żleadingâ€żglobalâ€żtourismâ€żgroup:â€żweâ€żstandâ€żforâ€żinterculturalâ€żcooperationâ€żandâ€żofferâ€żtheâ€żopportunityâ€żtoâ€żworkâ€żin internationalâ€żprojectsâ€żandâ€żteams. mobileâ€żworkingâ€żand flexibleâ€żworkingâ€żhours:â€żweâ€żbelieveâ€żthatâ€żworkâ€żisâ€żsomethingâ€żyouâ€żdo, notâ€żwhereâ€żyouâ€żgo.â€żourâ€żoffer:â€żnewwork@tui (hybrid working)â€ż& tuiâ€żworkwideâ€ż(workingâ€żfromâ€żabroad) development andâ€żcareerâ€żopportunities:â€żweâ€żpromoteâ€żtheâ€żpotentialâ€żofâ€żourâ€żemployeesâ€żwithâ€żaâ€żwideâ€żrangeâ€żofâ€ż(digital)â€żtrainingâ€żopportunitiesâ€żand internationalâ€żcareerâ€żopportunities. personalâ€żbenefits:â€żweâ€żofferâ€żattractiveâ€żremunerationâ€żwithâ€żholidayâ€żbonus,â€żgenerousâ€żtravelâ€żbenefits, extensiveâ€żhealthâ€ż&â€żwellbeingâ€żoffersâ€żandâ€żmuchâ€żmore. we love to see your uniqueness shine through and inspire the future of travel. if you would like to read more about what diversity & inclusion means to us simply visit our dna .""",/jobs/view/3320014303/?alternateChannel=search&refId=Ofmdv3Ug%2BNZUlqU0MxFjOw%3D%3D&trackingId=BaqMkNgqMTwEWnKBvE1G5w%3D%3D&trk=d_flagship3_search_srp_jobs,Travel Arrangements,"10,001+ employees",Data Analyst,Data Analyst,[],,"['sql', 'tableau']"
49,Digital Data Analyst,FrieslandCampina,Amersfoort, Utrecht,Hybrid,Full-time,Mid-Senior level,"10,001+ employees",Dairy Product Manufacturing,"""as digital data analyst you are responsible to design, implement and deliver cutting-edge analytics services to stakeholders, enabling them to make fact-based decisions. based on multiple data sources, you manage the generation of insights that help us better understand the market, consumer, our campaigns, expand reach, drive quality traffic, increase customer engagement and advocacy and ultimately impact sales. you will provide the factual basis for future consumer experiences, market developments, product innovations and site developments. what we ask education & professional experience university degree in the field of business or equivalent 3+ years of experience in digital analytics demostrable experience in customer analytics, web analytics, market/customer/product research ability to collaborate and drive insights to actions with a sharp focus on value add. knowledge, skills and abilities advanced experiences with digital analytics tools and disciplines (web, ecom, app, social, paid media, crm), e.g. google analytics, adobe, optimizely excellent presentation skills through storytelling. strong experience with visualization techniques. strong experience in collecting/working with structured market intelligence data (especially in a b2b food environment is an added advantage) strong experience with data analysis tool(s) e.g. power bi pro-active (engaging & impact-oriented) mind-set, ability to think end-to-end and globally. ability to work in a fast-paced environment with different international cultures strong experience to work on several projects simultaneously. strong communication (both written and verbal) and facilitation skills (small and large groups) especially when interacting with different levels of business. fluent english (verbal and written). what we offer unique company culture of dutch heritage and international presence we offer great work life balance, and competitive salary & benefits package so you can enjoy it competitive pension scheme, holiday allowance of 8%, end year allowance 3%, bonus scheme, flexible working hours and the ability to work from home. diverse training and mentoring programs to help you grow on your own professional journey exceptional support of cross disciplinary movement within the company to broaden your knowledge and growth paths a friendly and informal working environment, yet professional team members as sparring partners autonomy and trust to create longer term impact that helps bring better nutrition to the world free cheese and milk at lunch in the central office, and barista coffee to help you go through your working days with a lot of joy vacancy description strategy, execution & consultancy responsible for the development of consumer, business and platform performance insights on market, region and global level. design & run customer feedback and nps programs across touchpoints set digital & business kpis and run the rhythm of monthly performance reviews responsible for delivering timely and effective reports and insights to the business on both a regular and ad-hoc basis develop measurement and testing framework and tagging for site and media improvements - liaise with business stakeholders on requirements and output create, extract, and modify ad-hoc and standardized reports based on financial and operational data as needed to support the activities ensures business decisions are made with the right market, consumer and media evidence. collaborates with cross functional teams to drive insights to actions and is eager to understand and drive value to the business execution & consultancy""",/jobs/view/3410915636/?alternateChannel=search&refId=Ofmdv3Ug%2BNZUlqU0MxFjOw%3D%3D&trackingId=%2BD%2F7nK1U9J1lJGmkZMgGrQ%3D%3D&trk=d_flagship3_search_srp_jobs,Dairy Product Manufacturing,"10,001+ employees",Digital Data Analyst,Data Analyst,['3+ years'],3+ years,['power bi']
50,Data Analyst Bij Always Be Learning Bv,JouwICTvacature.nl,Amsterdam, North Holland,On-site,Full-time,Entry level,51-200 employees,IT Services and IT Consulting,"""functieomschrijving je gaat onze opdrachtgevers helpen met hun data vraagstukken. de ene keer help je ze met het implementeren en inrichten van een bi tool, bij je volgende project zet je ruwe klantdata om in commerciă«le kansen, ben je onderdeel van een big-data team waar je financiă«le data analyseert of logistieke processen optimaliseert. wij vragen jouw expertise wij bieden""",/jobs/view/3449760763/?alternateChannel=search&refId=Ofmdv3Ug%2BNZUlqU0MxFjOw%3D%3D&trackingId=aiS7M7v9prRZSPtj0b6u3g%3D%3D&trk=d_flagship3_search_srp_jobs,IT Services and IT Consulting,51-200 employees,Data Analyst Bij Always Be Learning Bv,Data Analyst,[],,[]
51,Data Analyst   Data Governance | Valcon,Cooder,Utrecht, Utrecht,Hybrid,Full-time,Mid-Senior level,11-50 employees,Staffing and Recruiting,"""als data analyst - data governance bij valcon fungeer je als belangrijke schakel en zorg jij voor positieve impact binnen je team en het bedrijf. klinkt dit als iets wat bij jou past? solliciteer dan direct! eă©n van onze consultants zal zo snel mogelijk contact met je op te nemen! de vacature als data-analist speel je een grote rol in de initiatieven van onze klanten op het gebied van data-integratie, datamigratie, datakwaliteit en databeheer. ofwel werken aan greenfield-projecten door een volledig nieuw dataplatform te bouwen of verbeteringen door te voeren door een bestaand dataplatform te vernieuwen. ons team bestaat uit professionals met verschillende achtergronden die de organisatie en het vakgebied begrijpen en innovatie mogelijk maken. dat doen we in iedere laag van de informatiearchitectuur zoals: kunstmatige intelligentie en data science, bedrijfsprocessen en besluitvorming, applicatie en infrastructuur of access, security en governance. viqtor davis is een kans en uitdaging voor hoogopgeleide specialisten met expertise in neurowetenschappen, data science en cognitieve systemen, klaar om te helpen bij jouw uitdaging. hier gaan we vanuit minimaal een (technische) hbo opleiding afgerond met wo denk- en werkniveau. analytisch vaardig en conceptueel sterk. sterk in teamverband en goede communicatie vaardigheden. beheerst de nederlandse en engelse taal in woord en geschrift. concepten vereist: > 3 jaar ervaring op gebied van business analyse > 1 jaar ervaring met agile/scrum manier van werken > 1 jaar ervaring met etl processen kennis van sql en data visualisaties (bv. power bi) arbeidsvoorwaarden je krijgt een salaris van 2500 tot 6000 euro bruto per maand in deze functie krijg je 25 vakantiedagen de tijden van je werk zijn flexibel je kunt bij deze functie thuis werken de reiskostenvergoeding is 19 cent per kilometer het is mogelijk om trainingen te volgen er is budget om een opleiding te volgen je zult in deze functie pensioen opbouwen onkostenvergoeding je krijgt een hospitalisatieverzekering sportmogelijkheid je zult een telefoon van het bedrijf krijgen je krijgt een laptop van de zaak lease-auto tankkaart je krijgt een dertiende maand bonussysteem over valcon: this is us weâ€™re doers who think. who can take your strategy, turn it into an actionable blueprint and help you get it done. who have deep expertise in operationalising strategy, process design, data and analytics, technology, and change. how we make change happen weâ€™re pragmatists. how we deliver is as important as what we deliver. weâ€™ll help you get the right results in the right way: by keeping complicated things simple; by being flexible when you want us to be, but honest when we need to be; by being fast, but not so fast that we cut corners or leave you with changes that arenâ€™t sustainable. our services we know that every link matters in improving a companyâ€™s value chain. we support our clients in pursuing the right change in people, systems and processes. our involvement is based on deep knowledge and experience, working shoulder to shoulder with many different organisations. we do not blindly follow a methodology; we follow through on getting things done. we make sure that our clients stay ahead of the curve. opgericht in 2008 de gemiddelde leeftijd is 35. werkzaam in 1 kantoor.""",/jobs/view/3418945707/?alternateChannel=search&refId=Ofmdv3Ug%2BNZUlqU0MxFjOw%3D%3D&trackingId=mPw3PEdIIY%2BCukK41kBC%2Fg%3D%3D&trk=d_flagship3_search_srp_jobs,Staffing and Recruiting,11-50 employees,Data Analyst  Data Governance | Valcon,Data Analyst,"['3 jaar', '1 jaar', '1 jaar']","3 jaar,1 jaar,1 jaar",['sql']
52,Crm Marketeer Acquisitie,Nederlandse Loterij,Rijswijk, South Holland,Hybrid,Full-time,Mid-Senior level,201-500 employees,Fundraising,"""weet jij hoe je nieuwe spelers kan aantrekken en de verkoop van onze producten kan laten toenemen? ben jij diegene die dankzij jouw inspanningen ons klantenbestand kan laten groeien. kom in beweging en versterk nederlandse loterij als crm marketeer acquisitie. resultaatgericht en met plezier. jouw speelveld dankzij jouw inzet weet jij als geen ander hoe je de perfecte customer journey creă«ert om nieuwe klanten binnen te halen. door jouw analyses en rapportages zijn wij in staat om de meest effectieve marketingmix te bepalen, zodat we de commerciă«le targets behalen. daarmee draag jij direct bij aan een gelukkig, gezond en sportief nederland. jij scoort als crm marketeer acquisitie door het: op basis van de customer journeys impactvolle lead- en abonnee-acquisitiecampagnes te ontwikkelen om nieuwe klanten aan te trekken de leiding te nemen bij een resultaatgerichte acquisitie aanpak stimuleren van zowel de verkoop van abonnementen als losse loten via de diverse kanalen: van online tot telemarketing en straatverkoop. jij bent de regisseur van alle verschillende kanalen en contactmomenten in de klantreis en je zoekt continu naar de juiste balans en inzet tussen verschillende kanalen. optimaliseren van interne processen om efficiă«nter en slimmer met elkaar samen te werken. samenwerken in een agile multidisciplinair team waarin je zelf de userstories schrijft en deze met de andere teamleden refinet tot de beste deliverable voor jouw klant. actief delen van kennis, skills en learnings met je crm collegaâ€™s zodat de hele afdeling crm naar een hoger niveau groeit. en ook dit wil je vast weten: je bent niet alleen verantwoordelijk voor de strategie, maar ook voor de executie: je brengt je ideeă«n zelf in de praktijk. je werkt hiervoor veel samen met veel verschillende afdelingen zoals business intelligence, e-mailmarketing, it, responsible gaming en klantenservice. samen werken, samen winnen nederlandse loterij is dă© betrouwbare kansspelorganisatie van nederland. met 7 sterke merken. we zijn marktleider, expert en staan voor verantwoord, eerlijk en veilig spelen. bijna alles wat we verdienen geven we weg voor een gelukkig, gezond en sportief nederland. naast een kansspelorganisatie met een maatschappelijke insteek zijn we een werkgever. binnen onze organisatie werken we samen met ruim 400 toptalenten. door samen te werken en samen te winnen, is er altijd reden om te juichen. binnen het team crm helpen we elkaar presteren en gaan we niet voor het eigen succes. onze verschillen maken ons samen sterk. sport verbindt ons. het lotto team bestaat uit verschillende marketing- en kanaalspecialisten, die samen verantwoordelijk zijn voor het totale resultaat van het merk lotto. samen gaan ze voor de winst! jouw talent de verschillende mensen die hier werken zijn graag in beweging, ontwikkelen zichzelf continu en gaan voor de winst. dat maakt iedereen binnen nederlandse loterij tot een toptalent. jouw talent is een optelsom van: een afgeronde hbo of wo opleiding en minimaal 5 jaar relevante ervaring met leadgeneratie ervaring met proposities, campagnes en wervingsstrategieă«n veel ervaring met verkoop optimalisatie en het sturen op kpiâ€™s als kosten per acquisitie en lifetime value creatief in het ontwikkelen van nieuwe concepten, in nauwe samenwerking met de interne studio, bureaus en development partijen kennis van crm tooling, google analytics en andere datatools verder vind je voor deze vacature de samenwerking met een team belangrijk en kun je stakeholders goed managen. je bent goed in data gedreven werken en denken vanuit de klant, je bent analytisch, nauwkeuring, gedisciplineerd en proactief. je neemt ownership over jouw winkel! jouw score als crm marketeer acquisitie bieden we jou: een salaris tot â‚¬6.200,- bruto per maand. een interessante bonusregeling. een fulltime functie voor 32 - 40 uur per week. het crm team komt op donderdag samen om kennis en kunde te delen en samen te werken aan projecten om het vakgebied crm verder te ontwikkelen voor â‚¬3,00 geniet je van een gezonde en gevarieerde lunch in ons bedrijfsrestaurant. ons kantoor in rijswijk is in principe de plek waar jij je werk doet, maar je werkt vooral op een plek die het beste past bij wat je doet. bekijk hieronder welke arbeidsvoorwaarden jij nog meer kan verwachten. nieuwsgierig geworden of heb je nog vragen? solliciteer dan nu of neem contact op met onze recruiter mijke steenhuisen via mijke.steenhuisen@nederlandseloterij.nl.""",/jobs/view/3455068448/?alternateChannel=search&refId=Ofmdv3Ug%2BNZUlqU0MxFjOw%3D%3D&trackingId=R2fIqH0tz%2FsjQmydBSGeVw%3D%3D&trk=d_flagship3_search_srp_jobs,Fundraising,201-500 employees,Crm Marketeer Acquisitie,Crm Marketeer Acquisitie,['5 jaar'],5 jaar,[]
